icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timeStamp
4d0106,CLX7986 ,Luxembourg,1583040577.0,1583040577,6.228,49.6358,502.92,True,0.0,149.06,,,,2000,False,0,20200301T1629
7800fe,CSN3400 ,China,1583040579.0,1583040579,105.287,28.3687,11308.08,False,237.68,161.84,0.0,,11620.5,1501,False,0,20200301T1629
89907d,EVA869  ,Taiwan,1583040578.0,1583040579,116.8166,22.3203,12184.38,False,204.8,268.7,0.0,,12854.94,2610,False,0,20200301T1629
89907b,EVA197  ,Taiwan,1583040579.0,1583040579,139.2011,35.1973,10980.42,False,206.48,265.28,6.5,,11155.68,3711,False,0,20200301T1629
a2c90d,ENY4235 ,United States,1583039197.0,1583040580,-99.8553,33.925,8534.4,False,215.09,308.1,0.0,,8564.88,2224,False,0,20200301T1629
a12c23,DAL178  ,United States,1583040463.0,1583040477,-11.7908,56.3866,11277.6,False,256.38,110.43,0.0,,10698.48,3441,False,0,20200301T1629
a874e1,JBU2717 ,United States,1583040579.0,1583040579,-67.5161,23.001,11574.78,False,226.81,169.15,0.0,,12131.04,,False,0,20200301T1629
ad1258,N941RB  ,United States,1583040579.0,1583040579,-111.6263,33.2929,701.04,False,40.5,64.41,2.28,,716.28,0773,False,0,20200301T1629
a7f445,UPS1    ,United States,,1583040302,,,,False,0.0,30.94,,,,,False,0,20200301T1629
040170,ETH700  ,Ethiopia,1583040579.0,1583040580,2.6523,49.8975,12192.0,False,233.56,307.12,0.0,,11879.58,2745,False,0,20200301T1629
a80162,ASA505  ,United States,1583040556.0,1583040556,-120.2173,41.1755,11582.4,False,235.71,350.58,0.0,,11399.52,1020,False,0,20200301T1629
39b493,FWI607  ,France,1583040579.0,1583040579,2.6428,48.649,2316.48,False,155.07,63.18,-8.78,,2186.94,1770,False,0,20200301T1629
04015c,ETH3714 ,Ethiopia,1583040579.0,1583040580,23.5968,38.683,10363.2,False,227.22,330.13,0.0,,10469.88,5521,False,0,20200301T1629
89904c,EVA258  ,Taiwan,1583040579.0,1583040579,105.9367,18.5776,10058.4,False,269.48,97.79,0.0,,10637.52,6151,False,0,20200301T1629
4000fb,SHU5481 ,United Kingdom,1583040407.0,1583040449,139.6747,36.5275,15026.64,False,194.19,328.54,0.0,,10431.78,6120,False,0,20200301T1629
a07fd0,BECT176 ,United States,1583040578.0,1583040579,-119.7035,34.3205,2400.3,False,113.34,138.5,3.25,,2423.16,4642,False,0,20200301T1629
c1e975,,Canada,,1583040579,,,,False,10.29,0.0,,,,,False,0,20200301T1629
780e09,CSN3466 ,China,1583040378.0,1583040459,113.7206,22.7715,411.48,False,84.21,153.12,-5.53,,548.64,1541,False,0,20200301T1629
44a98f,JAF9FG  ,Belgium,1583040580.0,1583040580,2.8705,49.7477,10424.16,False,214.78,200.91,2.6,,10043.16,7124,False,0,20200301T1629
c04053,ACA568  ,Canada,1583040579.0,1583040579,-123.3374,44.8091,11277.6,False,243.9,178.79,0.33,,11010.9,5404,False,0,20200301T1629
780e11,RLH6585 ,China,1583040580.0,1583040580,113.423,22.2063,8412.48,False,197.98,241.44,0.0,,8839.2,0460,False,0,20200301T1629
a8c4d8,UAL938  ,United States,1583040511.0,1583040514,-68.0681,43.1139,10668.0,False,256.54,87.01,0.0,,10195.56,6215,False,0,20200301T1629
a193d3,N200UP  ,United States,1583040577.0,1583040578,-96.3252,32.7932,487.68,False,64.9,82.26,1.63,,495.3,1200,False,0,20200301T1629
899049,EVA282  ,Taiwan,1583040562.0,1583040578,120.4496,24.3936,4320.54,False,186.85,37.28,-7.15,,4511.04,6516,False,0,20200301T1629
a887e0,NKS450  ,United States,1583040572.0,1583040578,-76.3294,35.3739,10401.3,False,224.47,20.39,-3.9,,10256.52,,False,0,20200301T1629
4240b6,ABW9092 ,United Kingdom,1583040580.0,1583040580,42.4993,59.0025,9753.6,False,224.73,250.2,0.0,,9105.9,2746,False,0,20200301T1629
c81959,RLK263  ,New Zealand,1583040326.0,1583040326,174.903,-41.1384,1272.54,False,134.31,220.34,-7.8,,1417.32,5730,False,0,20200301T1629
a5a11a,ASA211  ,United States,1583040579.0,1583040579,-122.1943,47.6491,1600.2,False,130.67,359.55,-6.83,,1600.2,6115,False,0,20200301T1629
a1efe7,ASA99   ,United States,1583040580.0,1583040580,-124.1375,48.4819,9753.6,False,199.41,323.6,0.0,,9441.18,6651,False,0,20200301T1629
4d012d,CLX58M  ,Luxembourg,1583040575.0,1583040575,-85.7059,35.4783,10668.0,False,267.29,76.87,0.0,,10675.62,3063,False,0,20200301T1629
4d012c,CLX93Z  ,Luxembourg,1583040579.0,1583040579,-11.9016,55.0772,11887.2,False,270.12,119.05,0.0,,11369.04,5205,False,0,20200301T1629
4d012f,CLX7204 ,Luxembourg,1583040579.0,1583040579,55.0575,25.1256,2430.78,False,143.87,256.56,-9.75,,2514.6,1444,False,0,20200301T1629
76ce2e,SIA993  ,Singapore,1583040578.0,1583040579,100.7859,4.5079,12489.18,False,244.21,151.71,0.0,,13327.38,6150,False,0,20200301T1629
4d012e,CLX47S  ,Luxembourg,1583040579.0,1583040579,-75.5173,47.1343,10972.8,False,254.28,225.25,0.0,,10447.02,0726,False,0,20200301T1629
4d0113,CLX7206 ,Luxembourg,1583040580.0,1583040580,11.7311,49.5582,10668.0,False,278.79,100.42,0.0,,10439.4,3501,False,0,20200301T1629
